timestep,soil_organic_matter_N0.8_C2.5,soil_pH_N0.7_C2.8
0,50.0,50.0
1,50.01537777915245,49.761390696869796
2,50.04982749509863,50.13130639329424
3,51.03570354233474,50.47473859302793
4,50.59143331492812,51.49516052933108
5,50.80160535624763,51.86634047061786
6,49.95037395769086,52.06592639081283
7,50.13955788782592,51.319486716790756
8,50.25140169116236,49.997100047074355
9,51.000818043091485,50.15204493584656
10,50.87458353561438,48.98989887182822
11,50.60613568990909,48.85385296131876
12,51.89655303573964,48.29177674718767
13,52.26085201449511,48.41542432525378
14,52.044061419849115,47.24744281024457
15,49.98451811671677,46.527840996910776
16,50.049325682464925,47.98581830821168
17,50.71519753228389,47.76822419171859
18,50.565507655695654,46.96932073445978
19,51.42606835029345,46.765691155534824
20,51.77666839702205,46.72330818479263
21,51.51255543266403,47.22717639059408
22,51.02882580656612,47.47814451297601
23,51.45283973921242,47.804640663053775
24,51.67134088098971,48.665309503844426
25,50.46826692850686,46.619945801925596
26,51.83965970564185,45.69406465207959
27,51.482711741824744,46.10904891670163
28,51.62905332540977,45.84874156512825
29,51.700685746551,46.02654987700081
30,49.75011006906905,46.12332358019889
31,50.68314395201221,45.44645330995686
32,50.062991889413,45.36880974136271
33,49.76162344209553,44.05601288785729
34,50.23947409284961,43.641718489870215
35,50.75034495645101,43.92316010374263
36,51.183015656495215,43.550673108549056
37,52.078944626962546,44.46972506159204
38,52.31939933690521,42.95702707126135
39,51.3010460261576,43.78283441064224
40,51.04351373996524,43.16152594293499
41,51.79563914025561,42.60425871417681
42,51.15482780338981,42.58680409593066
43,50.89541076072957,42.39332408968819
44,51.00235224052126,42.08578422454406
45,51.462997532469075,42.12840328422993
46,52.15091232011015,42.88846401859269
47,52.21495320458954,43.52702257274522
48,51.91993074183663,42.78512509711508
49,52.03765519327318,41.94262425311155
50,51.38029329029542,41.827715981328325
51,51.485025978139774,42.515230956974726
52,52.752677526969265,42.62481978547523
53,51.64306568296283,42.955066635769626
54,52.70346184450851,41.99498221019557
55,52.701609819231436,42.11055222235584
56,53.29284254964596,42.69726725602175
57,53.54801025379531,42.61142903569136
58,53.313434416587775,42.20223265955968
59,54.40580925464201,42.71999757970879
60,54.59295288651614,41.73894113427537
61,55.139984707407535,41.177978664965444
62,55.50876642206849,42.28436651861149
63,54.949439475031255,42.2953181626541
64,54.3348903342941,42.23495181874932
65,54.46033927039533,42.14359231007413
66,54.08457567784199,41.5403627641624
67,53.6189420047442,42.43391498314215
68,53.62279112541502,43.93545629672661
69,53.76745520387753,42.363388689881496
70,53.81447763055611,40.62160851875208
71,53.30813654395679,41.02482139375574
72,53.826325854850516,39.851209922949394
73,52.67581933958063,41.187450049851044
74,52.07681638822515,41.34168032203431
75,53.16732524856638,41.24424947351403
76,53.77164234252871,40.06959587005398
77,52.93092048203317,41.23617546721326
78,52.86972321378566,41.12965051113407
79,52.67964560244146,41.52111819874967
80,51.56626884600456,41.803824865655244
81,51.632702921852314,42.08566903772754
82,50.557045588909155,43.068584258686705
83,51.33707659472415,43.26090014111122
84,51.570997880318934,42.94166801437545
85,51.621374801844276,43.588063019570335
86,51.246499010411476,43.85276350524169
87,52.8833006968597,45.55413008825048
88,54.227822857481,44.695438703421964
89,53.623300665364745,45.46540526426143
90,52.80633807038279,44.89737338034983
91,52.01901290363102,45.075732030445465
92,51.31029751058647,45.53683285697358
93,51.788960414669,44.81400359332825
94,51.610223084557326,43.040675163327776
95,51.779001606032764,43.29210094489822
96,53.525716891153685,43.337325684514454
97,52.40635992635538,43.14057957063042
98,52.166437300327715,43.37549140324813
99,52.17840402986257,43.08107844278993
100,53.17708256060128,41.44577540142995
101,52.907012822720844,40.19279699257926
102,52.94403567361528,39.56535997447551
103,52.1659638067644,40.21233700951286
104,52.062726855310096,40.06049621565497
105,53.140106820766015,40.15637060613301
106,53.06396555231463,40.587609674942335
107,52.974153316650764,39.45011110077175
108,52.56014963734047,38.99484523742724
109,53.60297741571634,38.09161494210125
110,53.35697822335057,38.39985459134223
111,53.522138303404944,38.700041056218865
112,54.62366923336524,37.461351411613066
113,54.79065328014428,38.121546954572004
114,55.75292755991458,38.26111099079615
115,55.57745073481326,38.813267610051724
116,56.29816353883985,38.998066139129406
117,56.654224120602905,39.305502990697256
118,56.41400333496356,39.14030401866511
119,56.536951769494486,40.13261321453119
120,55.09780037895885,40.46712469653492
121,55.26568399982035,39.94442529077258
122,55.31742926933996,39.82312379098338
123,54.3645645475767,40.78483483674191
124,54.337138775068084,40.87356958095845
125,54.54900743161751,40.78231562973737
126,55.95853019691673,40.566985018980425
127,55.5198841080274,41.24624510197818
128,55.92165746262181,42.406077212684245
129,55.69613228644804,41.34315949676198
130,54.84715832074045,41.137972810637876
131,56.00996647816633,41.61029557746668
132,57.0298250747041,41.29522731117318
133,57.48816023669983,43.16325906652421
134,57.58762285066611,42.64328820636414
135,57.11605009205942,43.013768095712926
136,57.13437510317505,42.245894888145706
137,57.573785427709176,42.427150162969426
138,57.087671623963665,41.63658087681627
139,56.3474916016054,41.01768427919656
140,55.90362056865625,41.91479632968577
141,56.91620129726932,42.5548804153294
142,57.25378979200562,42.563771432151924
143,57.598575951748735,42.62035798157614
144,56.75237696998576,42.29340074024111
145,56.36290187682927,42.13764795085978
146,55.392220884472714,42.511654416044124
