region,document_count,total_words,total_characters
Adriatic_Sea_&_Central_Mediterranean_Mixed_Forests_(PA19),2,9164,79978
Aegean_Sea_&_East_Mediterranean_Mixed_Forests_(PA18),2,10260,89990
"Afghan-Balochistan_Drylands,_Mountain_Meadows_&_Conifer_Forests_(PA30)",2,9544,85930
Alps_&_Po_Basin_Mixed_Forests_(PA13),2,11420,99862
"Altai_Mountain_Forests,_Grasslands_&_Desert_Steppe_(PA37)",2,9118,79838
Amazon_River_Estuary_(NT16),2,11592,105628
Amsterdam-Saint_Paul_Islands_(AT3),2,8554,74050
Andean_Mountain_Forests_&_Valleys_(NT11),2,10064,88050
Andean_Mountain_Grasslands_(NT5),2,9480,82456
Antarctic_Peninsula_&_Scotia_Sea_(AN2),2,9882,85816
Appalachia_&_Allegheny_Interior_Forests_(NA24),2,10264,93508
Arakan_Mountains_&_Northern_Triangle_Forests_(IM10),2,8634,74142
Azores_Forest_Islands_(PA21),2,11328,99244
Baja_California_&_Southern_Deserts_(NA30),2,10464,90406
Balearic_Sea_&_West_Mediterranean_Mixed_Forests_(PA20),2,9920,87638
Baltic_Sea_&_Sarmatic_Mixed_Forests_(PA11),2,10380,90132
Bermuda_(NA26)_,2,10114,88604
"Black_Sea,_Caucasus-Anatolian_Mixed_Forests_&_Steppe_(PA17)",2,9306,80814
Borneo_Tropical_Forests_&_Sundaland_Heath_Forests_(IM16),2,13144,112966
Brazilian_Atlantic_Dry_Forests_(NT15),2,10640,93894
Brazilian_Atlantic_Moist_Forests_(NT14),2,10870,93322
Canadian_Shield_&_Coastal_Taiga-Forests_(NA9),2,9758,83744
Canadian_Tundra_(NA2),2,10420,90720
Cape_Verde_Islands_(AT24),2,11952,106078
Caribbean_Islands_(NT26),2,10100,92380
Carpathian_Mountain_&_Plains_Mixed_Forests_(PA14),2,10194,88820
Cascades_Mountain_Forests_&_Valleys_(NA16),2,9300,80086
"Caspian_Sea,_Coastal_Deserts_&_Kopet_Dagh_Mountain_Woodlands_(PA33)",2,8826,76122
Central_Amazonian_Forests_(NT19),2,11872,103662
Central_American_Isthmian_&_Colombian_Coastal_Forests_(NT24),2,9790,84012
Central_American_Mixed_Forests_(NT25),2,9568,84590
